x,g1,g2,g3,g4,g5
-0.5,0.625,0.5,0.4375,0.375,0.25
-0.499,0.622752499,0.498002499,0.435627499,0.373252499,0.248502499
-0.498,0.620509992,0.496009992,0.433759992,0.371509992,0.247009992
-0.497,0.618272473,0.494022473,0.431897473,0.369772473,0.245522473
-0.496,0.616039936,0.492039936,0.430039936,0.368039936,0.244039936
-0.495,0.613812375,0.490062375,0.428187375,0.366312375,0.242562375
-0.494,0.611589784,0.488089784,0.426339784,0.364589784,0.241089784
-0.493,0.609372157,0.486122157,0.424497157,0.362872157,0.239622157
-0.492,0.607159488,0.484159488,0.422659488,0.361159488,0.238159488
-0.491,0.604951771,0.482201771,0.420826771,0.359451771,0.236701771
-0.49,0.602749,0.480249,0.418999,0.357749,0.235249
-0.489,0.600551169,0.478301169,0.417176169,0.356051169,0.233801169
-0.488,0.598358272,0.476358272,0.415358272,0.354358272,0.232358272
-0.487,0.596170303,0.474420303,0.413545303,0.352670303,0.230920303
-0.486,0.593987256,0.472487256,0.411737256,0.350987256,0.229487256
-0.485,0.591809125,0.470559125,0.409934125,0.349309125,0.228059125
-0.484,0.589635904,0.468635904,0.408135904,0.347635904,0.226635904
-0.483,0.587467587,0.466717587,0.406342587,0.345967587,0.225217587
-0.482,0.585304168,0.464804168,0.404554168,0.344304168,0.223804168
-0.481,0.583145641,0.462895641,0.402770641,0.342645641,0.222395641
-0.48,0.580992,0.460992,0.400992,0.340992,0.220992
-0.479,0.578843239,0.459093239,0.399218239,0.339343239,0.219593239
-0.478,0.576699352,0.457199352,0.397449352,0.337699352,0.218199352
-0.477,0.574560333,0.455310333,0.395685333,0.336060333,0.216810333
-0.476,0.572426176,0.453426176,0.393926176,0.334426176,0.215426176
-0.475,0.570296875,0.451546875,0.392171875,0.332796875,0.214046875
-0.474,0.568172424,0.449672424,0.390422424,0.331172424,0.212672424
-0.473,0.566052817,0.447802817,0.388677817,0.329552817,0.211302817
-0.472,0.563938048,0.445938048,0.386938048,0.327938048,0.209938048
-0.471,0.561828111,0.444078111,0.385203111,0.326328111,0.208578111
-0.47,0.559723,0.442223,0.383473,0.324723,0.207223
-0.469,0.557622709,0.440372709,0.381747709,0.323122709,0.205872709
-0.468,0.555527232,0.438527232,0.380027232,0.321527232,0.204527232
-0.467,0.553436563,0.436686563,0.378311563,0.319936563,0.203186563
-0.466,0.551350696,0.434850696,0.376600696,0.318350696,0.201850696
-0.465,0.549269625,0.433019625,0.374894625,0.316769625,0.200519625
-0.464,0.547193344,0.431193344,0.373193344,0.315193344,0.199193344
-0.463,0.545121847,0.429371847,0.371496847,0.313621847,0.197871847
-0.462,0.543055128,0.427555128,0.369805128,0.312055128,0.196555128
-0.461,0.540993181,0.425743181,0.368118181,0.310493181,0.195243181
-0.46,0.538936,0.423936,0.366436,0.308936,0.193936
-0.459,0.536883579,0.422133579,0.364758579,0.307383579,0.192633579
-0.458,0.534835912,0.420335912,0.363085912,0.305835912,0.191335912
-0.457,0.532792993,0.418542993,0.361417993,0.304292993,0.190042993
-0.456,0.530754816,0.416754816,0.359754816,0.302754816,0.188754816
-0.455,0.528721375,0.414971375,0.358096375,0.301221375,0.187471375
-0.454,0.526692664,0.413192664,0.356442664,0.299692664,0.186192664
-0.453,0.524668677,0.411418677,0.354793677,0.298168677,0.184918677
-0.452,0.522649408,0.409649408,0.353149408,0.296649408,0.183649408
-0.451,0.520634851,0.407884851,0.351509851,0.295134851,0.182384851
-0.45,0.518625,0.406125,0.349875,0.293625,0.181125
-0.449,0.516619849,0.404369849,0.348244849,0.292119849,0.179869849
-0.448,0.514619392,0.402619392,0.346619392,0.290619392,0.178619392
-0.447,0.512623623,0.400873623,0.344998623,0.289123623,0.177373623
-0.446,0.510632536,0.399132536,0.343382536,0.287632536,0.176132536
-0.445,0.508646125,0.397396125,0.341771125,0.286146125,0.174896125
-0.444,0.506664384,0.395664384,0.340164384,0.284664384,0.173664384
-0.443,0.504687307,0.393937307,0.338562307,0.283187307,0.172437307
-0.442,0.502714888,0.392214888,0.336964888,0.281714888,0.171214888
-0.441,0.500747121,0.390497121,0.335372121,0.280247121,0.169997121
-0.44,0.498784,0.388784,0.333784,0.278784,0.168784
-0.439,0.496825519,0.387075519,0.332200519,0.277325519,0.167575519
-0.438,0.494871672,0.385371672,0.330621672,0.275871672,0.166371672
-0.437,0.492922453,0.383672453,0.329047453,0.274422453,0.165172453
-0.436,0.490977856,0.381977856,0.327477856,0.272977856,0.163977856
-0.435,0.489037875,0.380287875,0.325912875,0.271537875,0.162787875
-0.434,0.487102504,0.378602504,0.324352504,0.270102504,0.161602504
-0.433,0.485171737,0.376921737,0.322796737,0.268671737,0.160421737
-0.432,0.483245568,0.375245568,0.321245568,0.267245568,0.159245568
-0.431,0.481323991,0.373573991,0.319698991,0.265823991,0.158073991
-0.43,0.479407,0.371907,0.318157,0.264407,0.156907
-0.429,0.477494589,0.370244589,0.316619589,0.262994589,0.155744589
-0.428,0.475586752,0.368586752,0.315086752,0.261586752,0.154586752
-0.427,0.473683483,0.366933483,0.313558483,0.260183483,0.153433483
-0.426,0.471784776,0.365284776,0.312034776,0.258784776,0.152284776
-0.425,0.469890625,0.363640625,0.310515625,0.257390625,0.151140625
-0.424,0.468001024,0.362001024,0.309001024,0.256001024,0.150001024
-0.423,0.466115967,0.360365967,0.307490967,0.254615967,0.148865967
-0.422,0.464235448,0.358735448,0.305985448,0.253235448,0.147735448
-0.421,0.462359461,0.357109461,0.304484461,0.251859461,0.146609461
-0.42,0.460488,0.355488,0.302988,0.250488,0.145488
-0.419,0.458621059,0.353871059,0.301496059,0.249121059,0.144371059
-0.418,0.456758632,0.352258632,0.300008632,0.247758632,0.143258632
-0.417,0.454900713,0.350650713,0.298525713,0.246400713,0.142150713
-0.416,0.453047296,0.349047296,0.297047296,0.245047296,0.141047296
-0.415,0.451198375,0.347448375,0.295573375,0.243698375,0.139948375
-0.414,0.449353944,0.345853944,0.294103944,0.242353944,0.138853944
-0.413,0.447513997,0.344263997,0.292638997,0.241013997,0.137763997
-0.412,0.445678528,0.342678528,0.291178528,0.239678528,0.136678528
-0.411,0.443847531,0.341097531,0.289722531,0.238347531,0.135597531
-0.41,0.442021,0.339521,0.288271,0.237021,0.134521
-0.409,0.440198929,0.337948929,0.286823929,0.235698929,0.133448929
-0.408,0.438381312,0.336381312,0.285381312,0.234381312,0.132381312
-0.407,0.436568143,0.334818143,0.283943143,0.233068143,0.131318143
-0.406,0.434759416,0.333259416,0.282509416,0.231759416,0.130259416
-0.405,0.432955125,0.331705125,0.281080125,0.230455125,0.129205125
-0.404,0.431155264,0.330155264,0.279655264,0.229155264,0.128155264
-0.403,0.429359827,0.328609827,0.278234827,0.227859827,0.127109827
-0.402,0.427568808,0.327068808,0.276818808,0.226568808,0.126068808
-0.401,0.425782201,0.325532201,0.275407201,0.225282201,0.125032201
