x,g
-2,-18
-1.998,-17.922115928016
-1.996,-17.844463424256
-1.994,-17.767042057296
-1.992,-17.689851396096
-1.99,-17.61289101
-1.988,-17.536160468736
-1.986,-17.459659342416
-1.984,-17.383387201536
-1.982,-17.307343616976
-1.98,-17.23152816
-1.978,-17.155940402256
-1.976,-17.080579915776
-1.974,-17.005446272976
-1.972,-16.930539046656
-1.97,-16.85585781
-1.968,-16.781402136576
-1.966,-16.707171600336
-1.964,-16.633165775616
-1.962,-16.559384237136
-1.96,-16.48582656
-1.958,-16.412492319696
-1.956,-16.339381092096
-1.954,-16.266492453456
-1.952,-16.193825980416
-1.95,-16.12138125
-1.948,-16.049157839616
-1.946,-15.977155327056
-1.944,-15.905373290496
-1.942,-15.833811308496
-1.94,-15.76246896
-1.938,-15.691345824336
-1.936,-15.620441481216
-1.934,-15.549755510736
-1.932,-15.479287493376
-1.93,-15.40903701
-1.928,-15.339003641856
-1.926,-15.269186970576
-1.924,-15.199586578176
-1.922,-15.130202047056
-1.92,-15.06103296
-1.918,-14.992078900176
-1.916,-14.923339451136
-1.914,-14.854814196816
-1.912,-14.786502721536
-1.91,-14.71840461
-1.908,-14.650519447296
-1.906,-14.582846818896
-1.904,-14.515386310656
-1.902,-14.448137508816
-1.9,-14.3811
-1.898,-14.314273371216
-1.896,-14.247657209856
-1.894,-14.181251103696
-1.892,-14.115054640896
-1.89,-14.04906741
-1.888,-13.983288999936
-1.886,-13.917719000016
-1.884,-13.852356999936
-1.882,-13.787202589776
-1.88,-13.72225536
-1.878,-13.657514901456
-1.876,-13.592980805376
-1.874,-13.528652663376
-1.872,-13.464530067456
-1.87,-13.40061261
-1.868,-13.336899883776
-1.866,-13.273391481936
-1.864,-13.210086998016
-1.862,-13.146986025936
-1.86,-13.08408816
-1.858,-13.021392994896
-1.856,-12.958900125696
-1.854,-12.896609147856
-1.852,-12.834519657216
-1.85,-12.77263125
-1.848,-12.710943522816
-1.846,-12.649456072656
-1.844,-12.588168496896
-1.842,-12.527080393296
-1.84,-12.46619136
-1.838,-12.405500995536
-1.836,-12.345008898816
-1.834,-12.284714669136
-1.832,-12.224617906176
-1.83,-12.16471821
-1.828,-12.105015181056
-1.826,-12.045508420176
-1.824,-11.986197528576
-1.822,-11.927082107856
-1.82,-11.86816176
-1.818,-11.809436087376
-1.816,-11.750904692736
-1.814,-11.692567179216
-1.812,-11.634423150336
-1.81,-11.57647221
-1.808,-11.518713962496
-1.806,-11.461148012496
-1.804,-11.403773965056
-1.802,-11.346591425616
-1.8,-11.2896
-1.798,-11.232799294416
-1.796,-11.176188915456
-1.794,-11.119768470096
-1.792,-11.063537565696
-1.79,-11.00749581
-1.788,-10.951642811136
-1.786,-10.895978177616
-1.784,-10.840501518336
-1.782,-10.785212442576
-1.78,-10.73011056
-1.778,-10.675195480656
-1.776,-10.620466814976
-1.774,-10.565924173776
-1.772,-10.511567168256
-1.77,-10.45739541
-1.768,-10.403408510976
-1.766,-10.349606083536
-1.764,-10.295987740416
-1.762,-10.242553094736
-1.76,-10.18930176
-1.758,-10.136233350096
-1.756,-10.083347479296
-1.754,-10.030643762256
-1.752,-9.978121814016
-1.75,-9.92578125
-1.748,-9.873621686016
-1.746,-9.821642738256
-1.744,-9.769844023296
-1.742,-9.718225158096
-1.74,-9.66678576
-1.738,-9.615525446736
-1.736,-9.564443836416
-1.734,-9.513540547536
-1.732,-9.462815198976
-1.73,-9.41226741
-1.728,-9.361896800256
-1.726,-9.311702989776
-1.724,-9.261685598976
-1.722,-9.211844248656
-1.72,-9.16217856
-1.718,-9.112688154576
-1.716,-9.063372654336
-1.714,-9.014231681616
-1.712,-8.965264859136
-1.71,-8.91647181
-1.708,-8.867852157696
-1.706,-8.819405526096
-1.704,-8.771131539456
-1.702,-8.723029822416
-1.7,-8.6751
-1.698,-8.627341697616
-1.696,-8.579754541056
-1.694,-8.532338156496
-1.692,-8.485092170496
-1.69,-8.43801621
-1.688,-8.391109902336
-1.686,-8.344372875216
-1.684,-8.297804756736
-1.682,-8.251405175376
-1.68,-8.20517376
-1.678,-8.159110139856
-1.676,-8.113213944576
-1.674,-8.067484804176
-1.672,-8.021922349056
-1.67,-7.97652621
-1.668,-7.931296018176
-1.666,-7.886231405136
-1.664,-7.841332002816
-1.662,-7.796597443536
-1.66,-7.75202736
-1.658,-7.707621385296
-1.656,-7.663379152896
-1.654,-7.619300296656
-1.652,-7.575384450816
-1.65,-7.53163125
-1.648,-7.488040329216
-1.646,-7.444611323856
-1.644,-7.401343869696
-1.642,-7.358237602896
-1.64,-7.31529216
-1.638,-7.272507177936
-1.636,-7.229882294016
-1.634,-7.187417145936
-1.632,-7.145111371776
-1.63,-7.10296461
-1.628,-7.060976499456
-1.626,-7.019146679376
-1.624,-6.977474789376
-1.622,-6.935960469456
-1.62,-6.89460336
-1.618,-6.853403101776
-1.616,-6.812359335936
-1.614,-6.771471704016
-1.612,-6.730739847936
-1.61,-6.69016341
-1.608,-6.649742032896
-1.606,-6.609475359696
-1.604,-6.569363033856
-1.602,-6.529404699216
-1.6,-6.4896
-1.598,-6.449948580816
-1.596,-6.410450086656
-1.594,-6.371104162896
-1.592,-6.331910455296
-1.59,-6.29286861
-1.588,-6.253978273536
-1.586,-6.215239092816
-1.584,-6.176650715136
-1.582,-6.138212788176
-1.58,-6.09992496
-1.578,-6.061786879056
-1.576,-6.023798194176
-1.574,-5.985958554576
-1.572,-5.948267609856
-1.57,-5.91072501
-1.568,-5.873330405376
-1.566,-5.836083446736
-1.564,-5.798983785216
-1.562,-5.762031072336
-1.56,-5.72522496
-1.558,-5.688565100496
-1.556,-5.652051146496
-1.554,-5.615682751056
-1.552,-5.579459567616
-1.55,-5.54338125
-1.548,-5.507447452416
-1.546,-5.471657829456
-1.544,-5.436012036096
-1.542,-5.400509727696
-1.54,-5.36515056
-1.538,-5.329934189136
-1.536,-5.294860271616
-1.534,-5.259928464336
-1.532,-5.225138424576
-1.53,-5.19048981
-1.528,-5.155982278656
-1.526,-5.121615488976
-1.524,-5.087389099776
-1.522,-5.053302770256
-1.52,-5.01935616
-1.518,-4.985548928976
-1.516,-4.951880737536
-1.514,-4.918351246416
-1.512,-4.884960116736
-1.51,-4.85170701
-1.508,-4.818591588096
-1.506,-4.785613513296
-1.504,-4.752772448256
-1.502,-4.720068056016
-1.5,-4.6875
-1.498,-4.655067944016
-1.496,-4.622771552256
-1.494,-4.590610489296
-1.492,-4.558584420096
-1.49,-4.52669301
-1.488,-4.494935924736
-1.486,-4.463312830416
-1.484,-4.431823393536
-1.482,-4.400467280976
-1.48,-4.36924416
-1.478,-4.338153698256
-1.476,-4.307195563776
-1.474,-4.276369424976
-1.472,-4.245674950656
-1.47,-4.21511181
-1.468,-4.184679672576
-1.466,-4.154378208336
-1.464,-4.124207087616
-1.462,-4.094165981136
-1.46,-4.06425456
-1.458,-4.034472495696
-1.456,-4.004819460096
-1.454,-3.975295125456
-1.452,-3.945899164416
-1.45,-3.91663125
-1.448,-3.887491055616
-1.446,-3.858478255056
-1.444,-3.829592522496
-1.442,-3.800833532496
-1.44,-3.77220096
-1.438,-3.743694480336
-1.436,-3.715313769216
-1.434,-3.687058502736
-1.432,-3.658928357376
-1.43,-3.63092301
-1.428,-3.603042137856
-1.426,-3.575285418576
-1.424,-3.547652530176
-1.422,-3.520143151056
-1.42,-3.49275696
-1.418,-3.465493636176
-1.416,-3.438352859136
